"CODIGO_TUSS";"Termo_TUSS";"Grau_Equivalencia";"CODIGO_SUS";"PROCEDIMENTO_SUS"
"31101240";"Nefrolitotripsia extracorpórea - 1ª sessão";"2";"309030129";"LITOTRIPSIA EXTRACORPOREA (ONDA DE CHOQUE PARCIAL / COMPLETA EM 1 REGIAO  RENAL)"
"31101259";"Nefrolitotripsia extracorpórea - reaplicações (até 3 meses)";"2";"309030102";"LITOTRIPSIA EXTRACORPOREA (ONDA DE CHOQUE - TRATATAMENTO SUBSEQUENTE EM 1 REGIAO RENAL)"
"31101313";"Nefrostomia percutânea unilateral";"2";"409010294";"NEFROSTOMIA PERCUTANEA"
"31101356";"Pielolitotomia unilateral";"2";"409010316";"PIELOLITOTOMIA"
"31101364";"Pieloplastia";"1";"409010324";"PIELOPLASTIA"
"31101372";"Pielostomia unilateral";"2";"409010251";"NEFROPIELOSTOMIA"
"31101380";"Pielotomia exploradora unilateral";"2";"409010340";"PIELOTOMIA"
"31101429";"Sinfisiotomia (rim em ferradura)";"1";"409010405";"SINFISIOTOMIA DO RIM EM FERRADURA (NEFROPLASTIA)"
"31101470";"Tumores retro-peritoneais  malignos unilaterais - exérese";"2";"416040250";"RESSECCAO DE TUMOR RETROPERITONIAL EM ONCOLOGIA"
"31102220";"Retirada endoscópica de cálculo de ureter unilateral";"2";"409010154";"EXTRACAO ENDOSCOPICA DE CORPO ESTRANHO / CALCULO EM URETER"
"31102255";"Ureterocele unilateral - ressecção a céu aberto";"2";"409010510";"TRATAMENTO CIRURGICO DE URETEROCELE"
"31102344";"Ureteroplastia unilateral";"1";"409010570";"URETEROPLASTIA"
"31102468";"Ureteroureterocistoneostomia";"2";"409010537";"URETEROCISTONEOSTOMIA"
"31102573";"Ureteroenterostomia cutânea - unilateral";"2";"409010553";"URETEROENTEROSTOMIA"
"31103065";"Cistectomia parcial";"1";"409010022";"CISTECTOMIA PARCIAL"
"31103081";"Cistectomia total";"1";"409010030";"CISTECTOMIA TOTAL"
"31103162";"Cistorrafia (trauma)";"1";"409010081";"CISTORRAFIA"
"31103200";"Colo de divertículo - ressecção endoscópica";"2";"409010120";"DIVERTICULECTOMIA VESICAL"
"31103243";"Diverticulectomia vesical";"1";"409010120";"DIVERTICULECTOMIA VESICAL"
"31103278";"Extrofia vesical - tratamento cirúrgico";"2";"409010073";"CISTOPLASTIA (CORRECAO DE EXTROFIA VESICAL)"
"31103286";"Fístula vésico-cutânea - tratamento cirúrgico";"1";"409010448";"TRATAMENTO CIRURGICO DE FISTULA VESICO-CUTANEA"
"31103294";"Fístula vésico-entérica - tratamento cirúrgico";"1";"409010456";"TRATAMENTO CIRURGICO DE FISTULA VESICO-ENTERICA"
"31103308";"Fístula vésico-retal - tratamento cirúrgico";"1";"409010464";"TRATAMENTO CIRURGICO DE FISTULA VESICO-RETAL"
"31103316";"Fístula vésico-uterina - tratamento cirúrgico";"1";"409060283";"TRATAMENTO CIRURGICO DE FISTULA VESICO-UTERINA"
"31103324";"Fístula vésico-vaginal - tratamento cirúrgico";"1";"409070254";"TRATAMENTO CIRURGICO DE FISTULA VESICO-VAGINAL"
"31103405";"Punção e aspiração vesical";"2";"409010359";"PUNCAO / ASPIRACAO DA BEXIGA"
"31103456";"Tumor vesical - ressecção endoscópica";"2";"409010383";"RESSECCAO ENDOSCOPICA DE LESAO VESICAL"
"31103456";"Tumor vesical - ressecção endoscópica";"2";"416010172";"RESSECCAO ENDOSCOPICA DE TUMOR VESICAL EM ONCOLOGIA"
"31103464";"Vesicostomia cutânea";"2";"409010090";"CISTOSTOMIA"
"31103570";"Colo vesical - ressecção cirúrgica";"2";"409010367";"RESSECCAO DO COLO VESICAL / TUMOR VESICAL A CEU ABERTO"
"31103588";"Tumor vesical, ressecção a céu aberto";"1";"409010367";"RESSECCAO DO COLO VESICAL / TUMOR VESICAL A CEU ABERTO"
"31104010";"Abscesso periuretral - tratamento cirúrgico";"2";"409020010";"DRENAGEM DE COLECAO PERI-URETRAL"
"31104045";"Corpo estranho ou cálculo - extração endoscópica";"2";"409020036";"EXTRACAO ENDOSCOPICA DE CORPO ESTRANHO / CALCULO NA URETRA C/ CISTOSCOPIA"
"31104100";"Fístula uretro-vaginal - correção cirúrgica";"2";"409070246";"TRATAMENTO CIRURGICO DE FISTULA URETRO-VAGINAL"
"31104142";"Meatotomia uretral";"2";"409020079";"MEATOTOMIA SIMPLES"
"31104223";"Uretrotomia interna";"1";"409020176";"URETROTOMIA INTERNA"
"31104258";"Ressecção de corda da uretra";"1";"409020125";"URETROPLASTIA (RESSECCAO DE CORDA)"
"31104266";"Uretrotomia externa para retirada de cálculo ou corpo estranho";"1";"409020184";"URETROTOMIA P/ RETIRADA DE CALCULO OU CORPO ESTRANHO"
"31201024";"Abscesso de próstata - drenagem";"1";"409030015";"DRENAGEM DE ABSCESSO PROSTATICO"
"31201032";"Biópsia prostática - até 8 fragmentos";"2";"201010410";"BIOPSIA DE PROSTATA"
"31201040";"Biópsia prostática - mais de 8 fragmentos";"2";"201010410";"BIOPSIA DE PROSTATA"
"31201113";"Prostatavesiculectomia radical";"1";"409030031";"PROSTATOVESICULECTOMIA RADICAL"
"31201121";"Prostatectomia a céu aberto";"2";"409030023";"PROSTATECTOMIA SUPRAPÚBICA"
"31201130";"Ressecção endoscópica da próstata";"1";"409030040";"RESSECCAO ENDOSCOPICA DE PROSTATA"
"31201148";"Prostatavesiculectomia radical laparoscópica";"2";"409030031";"PROSTATOVESICULECTOMIA RADICAL"
"31202012";"Biópsia escrotal";"1";"201010070";"BIOPSIA DE BOLSA ESCROTAL"
"31202020";"Drenagem de abscesso - escroto";"2";"409040010";"DRENAGEM DE ABSCESSO DA BOLSA ESCROTAL"
"31202039";"Elefantíase peno-escrotal - tratamento cirúrgico";"2";"409040207";"TRATAMENTO CIRURGICO DE ELEFANTIASE DA BOLSA ESCROTAL"
"31202047";"Exérese de cisto escrotal";"1";"409040061";"EXERESE DE CISTO DE BOLSA ESCROTAL"
"31202055";"Plástica escrotal";"1";"409040177";"PLASTICA DA BOLSA ESCROTAL"
"31202071";"Ressecção parcial da bolsa escrotal";"1";"409040193";"RESSECCAO PARCIAL DA BOLSA ESCROTAL"
"31203035";"Escroto agudo - exploração cirúrgica";"2";"409040096";"EXPLORACAO CIRURGICA DA BOLSA ESCROTAL"
"31203060";"Orquidopexia unilateral";"1";"409040134";"ORQUIDOPEXIA UNILATERAL"
"31203094";"Reparação plástica (trauma)";"2";"409040185";"REPARACAO E OPERACAO PLASTICA DO TESTICULO"
"31203108";"Torção de testículo - cura cirúrgica";"2";"409040223";"TRATAMENTO CIRURGICO DE TORCAO DO TESTICULO / DO CORDAO ESPERMATICO"
"31204015";"Biópsia de epidídimo";"1";"201010178";"BIOPSIA DE EPIDIDIMO"
"31204066";"Exérese de cisto unilateral";"2";"409040070";"EXERESE DE CISTO DE EPIDIDIMO"
"31205038";"Recanalização dos ductus deferentes";"2";"409040118";"NEOSTOMIA DE EPIDIDIMO / CANAL DEFERENTE"
"31206034";"Biópsia peniana";"1";"201010380";"BIOPSIA DE PENIS"
"31206050";"Eletrocoagulação de lesões cutâneas";"1";"401010040";"ELETROCOAGULACAO DE LESAO CUTANEA"
"31206174";"Parafimose - redução manual ou cirúrgica";"2";"409050059";"LIBERACAO / PLASTIA DE PREPUCIO"
"31206212";"Plástica do freio bálano-prepucial";"1";"409050067";"PLASTICA DE FREIO BALANO-PREPUCIAL"
"31206220";"Postectomia";"1";"409050083";"POSTECTOMIA"
"31206239";"Priapismo - tratamento cirúrgico";"1";"409050113";"TRATAMENTO CIRURGICO DE PRIAPRISMO"
"31206255";"Reimplante do pênis";"1";"409050091";"REIMPLANTE DE PENIS"
"31301088";"Exérese de lesão da vulva e/ou do períneo (por grupo de até 5 lesões)";"2";"409070165";"EXTIRPACAO DE LESAO DE VULVA / PERINEO (POR ELETROCOAGULACAO OU FULGURACAO)"
"31301096";"Hipertrofia dos pequenos lábios - correção cirúrgica";"1";"409070262";"TRATAMENTO CIRURGICO DE HIPERTROFIA DOS PEQUENOS LABIOS"
"31301100";"Incisão e drenagem da glândula de Bartholin ou Skene";"1";"409070122";"DRENAGEM DE GLANDULA DE BARTHOLIN / SKENE"
"31301118";"Marsupialização da glândula de Bartholin";"1";"409070190";"MARSUPIALIZACAO DE GLANDULA DE BARTOLIN"
"31301134";"Vulvectomia simples";"1";"409070300";"VULVECTOMIA SIMPLES"
"31302025";"Colpectomia";"1";"409070025";"COLPECTOMIA"
"31302033";"Colpocleise (Lefort)";"1";"409070033";"COLPOCLEISE (CIRURGIA DE LE FORT)"
"31302041";"Colpoplastia anterior";"1";"409070084";"COLPOPLASTIA ANTERIOR"
"31302050";"Colpoplastia posterior com perineorrafia";"2";"409070068";"COLPOPERINEOPLASTIA POSTERIOR"
"31302084";"Exérese de cisto vaginal";"1";"409070149";"EXERESE DE CISTO VAGINAL"
"31302092";"Extração de corpo estranho com anestesia geral ou bloqueio";"2";"409070173";"EXTRACAO DE CORPO ESTRANHO DA VAGINA"
"31302114";"Himenotomia";"1";"409070181";"HIMENOTOMIA"
"31302122";"Neovagina (cólon, delgado, tubo de pele)";"2";"409070211";"RECONSTRUCAO DA VAGINA"
"31303021";"Biópsia do colo uterino";"1";"201010666";"BIOPSIA DO COLO UTERINO"
"31303030";"Biópsia do endométrio";"1";"201010151";"BIOPSIA DE ENDOMETRIO"
"31303056";"Curetagem ginecológica semiótica e/ou terapêutica com ou sem dilatação de colo uterino";"2";"409060046";"CURETAGEM SEMIOTICA C/ OU S/ DILATACAO DO COLO DO UTERO"
"31303064";"Dilatação do colo uterino";"1";"409060062";"DILATACAO DE COLO DO UTERO"
"31303072";"Excisão de pólipo cervical";"2";"409060097";"EXERESE DE POLIPO DE UTERO"
"31303102";"Histerectomia total - qualquer via";"1";"409060135";"HISTERECTOMIA TOTAL"
"31303110";"Histerectomia total ampliada - qualquer via - (não inclui a linfadenectomia pélvica)";"1";"409060143";"HISTERECTOMIA TOTAL AMPLIADA (WERTHEIN-MEIGS)"
"31303145";"Miomectomia uterina";"1";"409060194";"MIOMECTOMIA"
"31303161";"Traquelectomia radical (não inclui a linfadenectomia)";"2";"416060080";"TRAQUELECTOMIA RADICAL EM ONCOLOGIA"
"31303250";"Miomectomia uterina laparoscópica";"2";"409060208";"MIOMECTOMIA VIDEOLAPAROSCOPICA"
"31303285";"Histerectomia puerperal";"1";"411020030";"HISTERECTOMIA PUERPERAL"
"31303323";"Histerectomia pós-parto";"1";"411020030";"HISTERECTOMIA PUERPERAL"
"31304010";"Esterilização tubária";"2";"409060186";"LAQUEADURA TUBARIA"
"31304087";"Salpingectomia uni ou bilateral laparoscópica";"2";"409060240";"SALPINGECTOMIA VIDEOLAPAROSCOPICA"
"31305016";"Ooforectomia uni ou bilateral ou ooforoplastia uni ou bilateral";"2";"409060216";"OOFORECTOMIA / OOFOROPLASTIA"
"31307116";"Omentectomia";"2";"407040234";"RESSECCAO DO EPIPLOM"
"31307132";"Ressecção ou ligadura de varizes pélvicas";"2";"409060224";"RESSECCAO DE VARIZES PELVICAS"
"31307264";"Ressecção ou ligadura laparoscópica de varizes pélvicas";"2";"409060224";"RESSECCAO DE VARIZES PELVICAS"
"31309020";"Aspiração manual intra-uterina (AMIU) pós-abortamento";"2";"409060070";"ESVAZIAMENTO DE UTERO POS-ABORTO POR ASPIRACAO MANUAL INTRA-UTERINA (AMIU)"
"31309046";"Cerclagem do colo uterino (qualquer técnica)";"1";"409060011";"CERCLAGEM DE COLO DO UTERO"
"31309054";"Cesariana";"1";"411010034";"PARTO CESARIANO"
"31309089";"Gravidez  ectópica - cirurgia";"1";"411020048";"TRATAMENTO CIRURGICO DE GRAVIDEZ ECTOPICA"
"31309100";"Inversão uterina aguda - redução manual";"1";"411010050";"REDUCAO MANUAL DE INVERSAO UTERINA AGUDA POS-PARTO"
"31309119";"Inversão uterina - tratamento cirúrgico";"2";"411010085";"TRATAMENTO CIRURGICO DE INVERSAO UTERINA AGUDA POS PARTO"
"31309127";"Parto (via vaginal)";"1";"310010039";"PARTO NORMAL"
"31309194";"Inversão uterina - tratamento cirúrgico laparoscópico";"2";"411010085";"TRATAMENTO CIRURGICO DE INVERSAO UTERINA AGUDA POS PARTO"
"31401040";"Craniotomia para remoção de corpo estranho";"1";"403010063";"CRANIOTOMIA PARA  RETIRADA DE CORPO ESTRANHO INTRACRANIANO"
"31401040";"Craniotomia para remoção de corpo estranho";"2";"403010071";"CRANIOTOMIA PARA RETIRADA DE CORPO ESTRANHO INTRACRANIANO (COM TECNICA COMPLEMENTAR)"
"31401074";"Hipofisectomia por qualquer método";"2";"403030064";"HIPOFISECTOMIA TRANSESFENOIDAL POR TECNICA COMPLEMENTAR"
"31401120";"Implante intratecal de bombas para infusão de fármacos";"1";"403050057";"IMPLANTE INTRATECAL DE BOMBA DE INFUSAO DE FARMACOS"
"31401120";"Implante intratecal de bombas para infusão de fármacos";"2";"403080037";"IMPLANTE INTRAVENTRICULAR DE BOMBA DE INFUSÃO DE FARMACOS"
"31401155";"Microcirurgia para tumores intracranianos";"1";"403030145";"MICROCIRURGIA PARA TUMOR INTRACRANIANO"
"31401155";"Microcirurgia para tumores intracranianos";"2";"403030153";"MICROCIRURGIA PARA TUMOR INTRACRANIANO (COM TECNICA COMPLEMENTAR)"
"31401171";"Microcirurgia vascular intracraniana";"1";"403040078";"MICROCIRURGIA VASCULAR INTRACRANIANA (COM TÉCNICA COMPLEMENTAR)"
"31401201";"Ressecção de mucocele frontal";"1";"403010152";"RESSECÇÃO DE MUCOCELE FRONTAL"
"31401279";"Tratamento cirúrgico da meningoencefalocele";"2";"403010225";"TRATAMENTO CIRURGICO DE DISRAFISMO ABERTO"
"31401287";"Tratamento cirúrgico de tumores cerebrais sem microscopia";"2";"403030048";"CRANIOTOMIA PARA RETIRADA DE TUMOR INTRACRANIANO"
"31401295";"Tratamento cirúrgico do abscesso encefálico";"2";"403010195";"TRATAMENTO CIRURGICO DE ABSCESSO INTRACRANIANO"
"31401350";"Implantação de halo para radiocirurgia";"1";"304010103";"IMPLANTAÇÃO DE HALO PARA RADIOCIRURGIA "
"31402011";"Cordotomia-mielotomias por radiofrequência";"1";"403050049";"CORDOTOMIA / MIELOTOMIA POR RADIOFREQUENCIA"
"31403018";"Biópsia de nervo";"1";"201010291";"BIOPSIA DE NERVO"
"31403026";"Bloqueio de nervo periférico - nervos periféricos";"2";"417010052";"ANESTESIA REGIONAL"
"31403042";"Enxerto de nervo";"2";"403020026";"ENXERTO MICROCIRURGICO DE NERVO PERIFERICO (ÚNICO NERVO)"
"31403093";"Enxerto para reparo de 2 ou mais nervos";"2";"403020018";"ENXERTO MICROCIRURGICO DE NERVO PERIFERICO (2 OU MAIS NERVOS)"
"31403123";"Exploração cirúrgica de nervo (neurólise externa)";"2";"403020050";"MICRONEUROLISE DE NERVO PERIFERICO"
"31403140";"Implante de gerador para neuroestimulação";"2";"403080029";"IMPLANTE DE GERADOR DE PULSOS P/ARA ESTIMULAÇÃO CEREBRAL (INCLUI CONECTOR)"
"31403166";"Lesão estereotáxica de estruturas profundas para tratamento da dor ou movimento anormal";"2";"403050162";"TRATAMENTO POR ESTERETAXIA DE LESÃO DE ESTRUTURA PROFUNDA DE SNC  PARA TRATATAMENTO DE MOVIMENTOS ANORMAIS OU CONTROLE DA DOR"
"31403182";"Microcirurgia do plexo braquial com exploração e neurólise";"1";"403020034";"MICROCIRURGIA DE PLEXO BRAQUIAL COM EXPLORAÇÃO E NEUROLISE"
"31403280";"Neurólise das síndromes compressivas";"2";"403020077";"NEUROLISE NAO FUNCIONAL DE NERVOS PERIFERICOS"
"31403379";"Simpatectomia por videotoracoscopia";"2";"403050146";"SIMPATECTOMIA TORACICA VIDEOCIRURGICA"
"31404014";"Descompressão vascular de nervos cranianos";"1";"403040027";"DESCOMPRESSAO NEUROVASCULAR DE NERVOS CRANIANOS"
"31405037";"Tratamento cirúrgico da síndrome do desfiladeiro cérvico torácico";"1";"408030771";"TRATAMENTO CIRURGICO DESCOMPRESSIVO AO NIVEL DO DESFILADEIRO TORACICO"
"31501010";"Transplante de córnea";"1";"505010097";"TRANSPLANTE DE CORNEA"
"31502016";"Transplante cardíaco (doador)";"2";"503030023";"RETIRADA DE CORAÇÃO (PARA TRANSPLANTE)"
"31502024";"Transplante cardíaco (receptor)";"2";"505020041";"TRANSPLANTE DE CORACAO"
"31504019";"Transplante pulmonar (doador)";"2";"503030074";"RETIRADA DE PULMÕES (PARA TRANSPLANTE)"
"31504027";"Transplante pulmonar unilateral (receptor)";"1";"505020084";"TRANSPLANTE DE PULMAO UNILATERAL"
"31505023";"Transplante hepático (doador)";"2";"503030040";"RETIRADA DE FÍGADO (PARA TRANSPLANTE)"
"31507018";"Transplante pancreático (receptor)";"2";"505020076";"TRANSPLANTE DE PANCREAS"
"31601014";"Acupuntura por sessão";"2";"309050022";"SESSAO DE ACUPUNTURA COM INSERCAO DE AGULHAS"
"40103013";"Análise computadorizada da voz";"2";"211070017";"ANALISE ACUSTICA DA VOZ POR MEIO DE LABORATORIO DE VOZ"
"40103137";"Campimetria computadorizada - monocular";"2";"211060038";"CAMPIMETRIA COMPUTADORIZADA OU MANUAL COM GRÁFICO"
"40103170";"EEG de rotina";"2";"211050040";"ELETROENCEFALOGRAMA EM VIGILIA E SONO ESPONTANEO C/ OU S/ FOTOESTIMULO (EEG)"
"40103196";"EEGQ quantitativo (mapeamento cerebral)";"2";"211050059";"ELETROENCEFALOGRAMA QUANTITATIVO C/ MAPEAMENTO (EEG)"
"40103234";"Eletrencefalograma em vigília, e sono espontâneo ou induzido";"2";"211050040";"ELETROENCEFALOGRAMA EM VIGILIA E SONO ESPONTANEO C/ OU S/ FOTOESTIMULO (EEG)"
"40103242";"Eletro-oculografia - monocular";"1";"211060070";"ELETRO-OCULOGRAFIA"
"40103250";"Eletro-retinografia - monocular";"1";"211060089";"ELETRORETINOGRAFIA"
"40103269";"Eletrococleografia (Ecochg)";"1";"211070122";"ELETROCOCLEOGRAFIA"
"40103412";"Gustometria";"1";"211070190";"GUSTOMETRIA"
"40103420";"Imitanciometria de alta frequência";"2";"211070203";"IMITANCIOMETRIA"
"40103439";"Impedanciometria";"2";"211070203";"IMITANCIOMETRIA"
"40103633";"Potencial evocado visual (PEV)";"1";"211060160";"POTENCIAL VISUAL EVOCADO"
"40103641";"Provas de função tubária";"1";"211070289";"PROVA DE FUNCAO TUBARIA"
"40103757";"Vídeo-eletrencefalografia contínua não invasiva - 12 horas (vídeo EEG/NT)";"2";"211050156";"VIDEO-ELETROENCEFALOGRAMA C/ REGISTRO PROLONGADO"
"40105075";"Prova de função pulmonar completa (ou espirometria)";"2";"211080055";"PROVA DE FUNCAO PULMONAR COMPLETA C/ BRONCODILATADOR (ESPIROMETRIA)"
"40201015";"Amnioscopia";"1";"211040010";"AMNIOSCOPIA"
"40201074";"Colangiopancreatografia retrógrada endoscópica";"1";"209010010";"COLANGIOPANCREATOGRAFIA RETROGRADA (VIA ENDOSCOPICA)"
"40201082";"Colonoscopia (inclui a retossigmoidoscopia)";"2";"209010029";"COLONOSCOPIA (COLOSCOPIA)"
"40201120";"Endoscopia digestiva alta";"2";"209010037";"ESOFAGOGASTRODUODENOSCOPIA"
"40201163";"Laparoscopia";"1";"209010045";"LAPAROSCOPIA"
"40202127";"Colocação de prótese traqueal ou brônquica";"2";"412010046";"COLOCACAO DE PROTESE LARINGO TRAQUEAL/ TRAQUEO-BRONQUICA (INCLUI PRÓTESE)"
"40202216";"Drenagem cavitária por laparoscopia";"2";"407040170";"LAPAROTOMIA VIDEOLAPAROSCOPICA PARA DRENAGEM E/OU BIOPSIA"
"40202453";"Ligadura elástica do esôfago, estômago ou duodeno";"2";"407010319";"TRATAMENTO ESCLEROSANTE / LIGADURA ELASTICA DE LESAO HEMORRAGICA DO APARELHO DIGESTIVO"
"40202534";"Passagem de sonda naso-enteral";"1";"309010101";"PASSAGEM DE SONDA NASO ENTERICA (INCLUI MATERIAL)"
"40301028";"5-nucleotidase - pesquisa e/ou dosagem";"1";"202010090";"DOSAGEM DE 5-NUCLEOTIDASE"
"40301214";"Acilcarnitinas (perfil quantitativo)";"2";"202100146";"DOSAGEM QUANTITATIVA  DE CARNITINA, PERFIL DE ACILCARNITINAS"
"40301249";"Alfa-1-antitripsina, pesquisa e/ou dosagem no soro";"2";"202010155";"DOSAGEM DE ALFA-1-ANTITRIPSINA"
"40301508";"Clearance de creatinina";"1";"202050025";"CLEARANCE DE CREATININA"
"40301516";"Clearance de fosfato";"1";"202050033";"CLEARANCE DE FOSFATO"
"40301524";"Clearance de uréia";"1";"202050041";"CLEARANCE DE UREIA"
"40301532";"Clearance osmolar";"1";"202010015";"CLEARANCE OSMOLAR"
"40301761";"Eletroferese de proteínas";"1";"202010724";"ELETROFORESE DE PROTEINAS"
"40301788";"Eletroforese de lipoproteínas";"1";"202010716";"ELETROFORESE DE LIPOPROTEINAS"
"40302482";"Teste de tolerância a insulina ou hipoglicemiantes orais (até 6 dosagens)";"2";"202010759";"TESTE DE TOLERANCIA A INSULINA / HIPOGLICEMIANTES ORAIS"
"40302628";"Xilose, teste de absorção à";"2";"202010740";"PROVA DA D-XILOSE"
"40302717";"Eletroforese de proteínas de alta resolução";"2";"202010724";"ELETROFORESE DE PROTEINAS"
"40303020";"Anal Swab, pesquisa de oxiúrus";"2";"202040054";"PESQUISA DE ENTEROBIUS VERMICULARES (OXIURUS OXIURA)"
"40303039";"Coprológico funcional (caracteres, pH, digestibilidade, amônia, ácidos orgânicos e interpretação)";"2";"202040038";"EXAME COPROLOGICO FUNCIONAL"
"40303055";"Gordura fecal, dosagem";"1";"202040020";"DOSAGEM DE GORDURA FECAL"
"40303080";"Larvas (fezes), pesquisa";"1";"202040089";"PESQUISA DE LARVAS NAS FEZES"
"40303101";"Leveduras, pesquisa nas fezes";"1";"202040100";"PESQUISA DE LEVEDURAS NAS FEZES"
"40303136";"Sangue oculto, pesquisa nas fezes";"1";"202040143";"PESQUISA DE SANGUE OCULTO NAS FEZES"
"40303152";"Substâncias redutoras nas fezes - pesquisa";"1";"202040151";"PESQUISA DE SUBSTANCIAS REDUTORAS NAS FEZES"
"40303187";"Estercobilinogênio fecal, dosagem";"1";"202040011";"DOSAGEM DE ESTERCOBILINOGENIO FECAL"
"40303195";"Gordura fecal, pesquisa de";"1";"202040070";"PESQUISA DE GORDURA FECAL"
"40304027";"Anticorpo anti A e B, pesquisa e/ou dosagem";"2";"202120104";"TITULACAO DE ANTICORPOS ANTI A E/OU ANTI B"
"40304060";"Antitrombina III, dosagem";"1";"202020177";"DOSAGEM DE ANTITROMBINA III"
"40304108";"Coombs direto";"2";"202020541";"TESTE DIRETO DE ANTIGLOBULINA HUMANA (TAD)"
"40304159";"Fator II, dosagem";"1";"202020185";"DOSAGEM DE FATOR II"
"40304167";"Fator IX, dosagem";"1";"202020193";"DOSAGEM DE FATOR IX"
"40304175";"Fator V, dosagem";"1";"202020207";"DOSAGEM DE FATOR V"
"40304183";"Fator VIII, dosagem";"1";"202020223";"DOSAGEM DE FATOR VIII"
"40304191";"Fator VIII, dosagem do antígeno (Von Willebrand)";"1";"202020240";"DOSAGEM DE FATOR VON WILLEBRAND (ANTIGENO)"
"40304205";"Fator VIII, dosagem do inibidor";"1";"202020231";"DOSAGEM DE FATOR VIII (INIBIDOR)"
"40304213";"Fator X, dosagem";"1";"202020258";"DOSAGEM DE FATOR X"
"40304221";"Fator XI, dosagem";"1";"202020266";"DOSAGEM DE FATOR XI"
"40304230";"Fator XII, dosagem";"1";"202020274";"DOSAGEM DE FATOR XII"
"40304248";"Fator XIII, pesquisa";"1";"202020282";"DOSAGEM DE FATOR XIII"
"40304256";"Fenotipagem do sistema Rh-Hr (anti Rho(D) + anti Rh(C) + anti Rh(E)";"1";"202120031";"FENOTIPAGEM DE SISTEMA RH - HR"
"40304264";"Fibrinogênio, teste funcional, dosagem";"2";"202020290";"DOSAGEM DE FIBRINOGENIO"
"40304272";"Filária, pesquisa";"1";"202020436";"PESQUISA DE FILARIA"
"40304299";"Grupo sanguíneo ABO, e fator Rho (inclui Du) - determinação";"2";"202120023";"DETERMINACAO DIRETA E REVERSA DE GRUPO ABO"
"40304302";"Ham, teste de (hemólise ácida)";"1";"202020533";"TESTE DE HAM (HEMOLISE ACIDA)"
"40304310";"Heinz, corpúsculos, pesquisa";"1";"202020428";"PESQUISA DE CORPUSCULOS DE HEINZ"
"40304337";"Hematócrito, determinação do";"1";"202020371";"HEMATOCRITO"
"40304345";"Hemoglobina, dosagem";"1";"202020304";"DOSAGEM DE HEMOGLOBINA"
"40304361";"Hemograma com contagem de plaquetas ou frações (eritrograma, leucograma, plaquetas)";"2";"202020380";"HEMOGRAMA COMPLETO"
"40304418";"Leucócitos, contagem";"2";"202020398";"LEUCOGRAMA"
"40304434";"Meta-hemoglobina, determinação da";"1";"202070271";"DOSAGEM DE META-HEMOGLOBINA"
"40304450";"Plaquetas, teste de agregação (por agente agregante), cada";"2";"202020525";"TESTE DE AGREGACAO DE PLAQUETAS"
"40304469";"Plasminogênio, dosagem";"1";"202020347";"DOSAGEM DE PLASMINOGENIO"
"40304477";"Plasmódio, pesquisa";"1";"202020452";"PESQUISA DE PLASMODIO"
"40304531";"Prova do laço";"1";"202020509";"PROVA DO LACO"
"40304540";"Resistência globular, curva de";"1";"202020045";"DETERMINACAO DE CURVA DE RESISTENCIA GLOBULAR"
"40304558";"Reticulócitos, contagem";"1";"202020037";"CONTAGEM DE RETICULOCITOS"
"40304566";"Retração do coágulo - pesquisa";"2";"202020495";"PROVA DE RETRACAO DO COAGULO"
"40304574";"Ristocetina, co-fator, teste funcional, dosagem";"1";"202020401";"PESQUISA DE ATIVIDADE DO COFATOR DE RISTOCETINA"
"40304582";"Tempo de coagulação - determinação";"1";"202020070";"DETERMINACAO DE TEMPO DE COAGULACAO"
"40304590";"Tempo de protrombina - determinação";"2";"202020142";"DETERMINACAO DE TEMPO E ATIVIDADE DA PROTROMBINA (TAP)"
"40304612";"Tempo de sangramento de IVY - deteminação";"1";"202020100";"DETERMINACAO DE TEMPO DE SANGRAMENTO DE IVY"
"40304620";"Tempo de trombina - determinação";"1";"202020126";"DETERMINACAO DE TEMPO DE TROMBINA"
"40304639";"Tempo de tromboplastina parcial ativada - determinação";"1";"202020134";"DETERMINACAO DE TEMPO DE TROMBOPLASTINA PARCIAL ATIVADA (TTP ATIVADA)"
"40304647";"Tripanossoma, pesquisa";"1";"202020460";"PESQUISA DE TRIPANOSSOMA"
"40304680";"Fator VII - pesquisa e/ou dosagem";"1";"202020215";"DOSAGEM DE FATOR VII"
"40304698";"Fator XIII, dosagem, teste funcional";"2";"202020282";"DOSAGEM DE FATOR XIII"
"40304809";"Consumo de protrombina - pesquisa e/ou dosagem";"2";"202020487";"PROVA DE CONSUMO DE PROTROMBINA"
"40304817";"Enzimas eritrocitárias, rastreio para deficiência";"1";"202020517";"RASTREIO P/ DEFICIENCIA DE ENZIMAS ERITROCITARIAS"
"40304825";"Esplenograma (citologia)";"1";"202090175";"ESPLENOGRAMA"
"40304833";"Hemoglobina instabilidade a 37 graus C - pesquisa e/ou dosagem";"1";"202020312";"DOSAGEM DE HEMOGLOBINA - INSTABILIDADE A 37OC"
"40304876";"Sulfo-hemoglobina, determinação da";"1";"202020061";"DETERMINACAO DE SULFO-HEMOGLOBINA"
"40304884";"Coombs indireto";"2";"202120090";"TESTE INDIRETO DE ANTIGLOBULINA HUMANA (TIA)"
"40304892";"Mielograma";"1";"202090191";"MIELOGRAMA"
